head_entity,relation,tail_entity,timestamp
直升机,发生,双GPS接收机信号丢失,2014-11
直升机,表现为,死 reckoning（推算导航）提示,2014-11
直升机,告警于,信号丢失,2014-11
第一航班机长,发生,沟通误解（摄氏/华氏度混淆）,2014-11
第一航班,导致,除冰液使用错误,2014-11
第一航班,表现为,需要返航重新除冰,2014-11
B757-200,发生,甚高频（VHF）通信失效,2012-10
B757-200,表现为,无法联系塔台及离场管制,2012-10
B757-200,告警于,应答机编码7600,2012-10
B757-200,维修于,维护人员无法复现故障,2012-10
CE560,发生,导航数据库航路点命名冲突,2012-11
CE560,表现为,需手动输入经纬度（Lat/Long）,2012-11
CE560,属性,操作性错误,2012-11
第二航班机长,发生,疲劳与沟通不畅,2015-09
第二航班,发生,高度偏离（5000英尺误听为5500英尺）,2015-09
第二航班,告警于,管制员提醒,2015-09
CE501,发生,低高度告警,2016-01
CE501,表现为,低于最低引导高度（2600英尺）,2016-01
CE501,导致,自动驾驶模式操作困难,2016-01
第一航班机长,发生,视线外飞行（NMAC）,2012-10
第一航班机长,表现为,目视发现冲突交通,2012-10
第一航班机长,采取措施,紧急爬升避让,2012-10
A321,发生,疲劳驾驶,2019-11
A321机长,表现为,微睡眠发作,2019-11
A321机长,维修于,疲劳报告,2019-11
调度员,发生,系统崩溃（Swift软件）,2016-01
调度员,导致,备降场选择失误,2016-01
调度员,表现为,工作负荷过大,2016-01
PBI塔台教员,发生,跑道入侵,2019-11
PBI塔台教员,导致,起飞许可发出过早,2019-11
PBI塔台教员,表现为,进近飞机未及时脱离跑道,2019-11
EMB-170,发生,重量与平衡数据错误,2016-06
EMB-170,导致,未卸载行李（390磅）,2016-06
EMB-170,表现为,起飞配平设置不准确,2016-06
CRJ-200,发生,维修工时不足,2019-01
CRJ-200,导致,检查工作仓促,2019-01
CRJ-200,属性,安全风险,2019-01
Embraer 145,发生,燃油系统指示故障,2013-03
Embraer 145,表现为,1号翼Tank燃油指示归零,2013-03
Embraer 145,告警于,燃油低油位警告,2013-03
Embraer 145,采取措施,返航降落,2013-03
维修人员,发生,异物遗留（剃须刀片）,2019-11
维修人员,导致,驾驶舱烟雾/异味,2019-11
维修人员,维修于,锐器未清理（FOD）,2019-11
货物机长,发生,恶劣天气绕飞冲突,2020-09
货物机长,发生,空中接近冲突,2020-09
货物机长,告警于,管制员警告,2020-09
C172,发生,发动机空中停车,2013-03
C172,采取措施,紧急降落,2013-03
A320,发生,引气系统异常压力,2013-03
A320,导致,单引气活门关闭,2013-03
A320机长,发生,决策困难（备降或返航）,2013-03
A320机长,采取措施,超重着陆,2013-03
B757-200,发生,维护程序违规,2013-10
B757-200,导致,自动减速板机构漏检,2013-10
B757-200,属性,疲劳与文件理解错误,2013-10
PAE塔台飞行员,发生,跑道侵入（误入跑道11）,2012-05
PAE塔台飞行员,表现为,持有错误的停机坪持有线,2012-05
PAE塔台飞行员,告警于,管制员取消起飞许可,2012-05
维修人员,发生,违规停放,2013-10
维修人员,表现为,机库停放位置未标记,2013-10
维修人员,导致,千斤顶作业风险,2013-10
第二航班飞行员,发生,空中接近事故（NMAC）,2019-11
第二航班飞行员,导致,错误的离场航向,2019-11
第二航班飞行员,采取措施,TCAS避让,2019-11
B737-700,发生,飞行管理系统（FMS）故障,2012-12
B737-700,表现为,航路不连续错误,2012-12
B737-700,导致,无法自动执行离场程序,2012-12
CRJ900,发生,偏离指定航路,2015-09
CRJ900,导致,遭遇尾流颠簸,2015-09
CRJ900飞行员,发生,强光炫目（太阳直射）,2015-09
B787飞行员,发生,高度偏差,2019-11
B787飞行员,导致,米制与英制单位换算错误,2019-11
B767-200,发生,襟翼控制系统失效,2012-02
B767-200,表现为,襟翼不一致警告,2012-02
B767-200,采取措施,紧急降落,2012-02
EMB-500,发生,右发动机失效,2018-10
EMB-500,表现为,N1转速下降,2018-10
EMB-500,采取措施,单发着陆,2018-10
